    1   0.000000           :: → ff02::1:ff94:36a1 ICMPv6 86 Neighbor Solicitation for fe80::fcf2:eaff:fe94:36a1
   82  39.622458     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=27038 Win=34304 Len=0 TSval=1886574004 TSecr=1758595883
   83  39.629210     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=28038 Win=34304 Len=0 TSval=1886574010 TSecr=1758595905
   84  39.637239     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=24001 Win=67 Len=0 TSval=1886574017 TSecr=1758595871
   85  39.642920     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=29038 Win=34304 Len=0 TSval=1886574024 TSecr=1758595919
   86  39.647010     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=45001 Win=67 Len=0 TSval=1886574028 TSecr=1758595925
   87  39.649385     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=39001 Win=67 Len=0 TSval=1886574030 TSecr=1758595907
   88  39.657133     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=30038 Win=34304 Len=0 TSval=1886574038 TSecr=1758595921
   89  39.665583     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=42001 Win=67 Len=0 TSval=1886574046 TSecr=1758595946
   90  39.665916     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=29038 Win=34304 Len=0 TSval=1886574047 TSecr=1758595926
   91  39.669707     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=28001 Win=67 Len=0 TSval=1886574051 TSecr=1758595934
   92  39.675691     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=31001 Win=67 Len=0 TSval=1886574057 TSecr=1758595967
   93  39.681795     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=33038 Win=34304 Len=0 TSval=1886574063 TSecr=1758595968
   94  39.686168     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=31038 Win=34304 Len=0 TSval=1886574067 TSecr=1758595937
   95  39.708276     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=36038 Win=34304 Len=0 TSval=1886574089 TSecr=1758596004
   96  39.714809     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=48001 Win=67 Len=0 TSval=1886574096 TSecr=1758595960
   97  39.716324     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=52001 Win=67 Len=0 TSval=1886574097 TSecr=1758596012
   98  39.728432     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=34038 Win=34304 Len=0 TSval=1886574110 TSecr=1758595979
   99  39.729904     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=48001 Win=67 Len=0 TSval=1886574111 TSecr=1758596022
  100  39.733878     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=37038 Win=34304 Len=0 TSval=1886574115 TSecr=1758596024
  101  39.745063     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=37038 Win=34304 Len=0 TSval=1886574126 TSecr=1758596025
  102  39.748131     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=35038 Win=34304 Len=0 TSval=1886574129 TSecr=1758595995
  103  39.752273     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=36001 Win=67 Len=0 TSval=1886574133 TSecr=1758596042
  104  39.758335     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=39038 Win=34304 Len=0 TSval=1886574139 TSecr=1758596042
  105  39.770666     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=37001 Win=67 Len=0 TSval=1886574152 TSecr=1758596049
  106  39.772847     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=40038 Win=34304 Len=0 TSval=1886574154 TSecr=1758596059
  107  39.783118     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=41038 Win=34304 Len=0 TSval=1886574164 TSecr=1758596072
  108  39.787094     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=41038 Win=34304 Len=0 TSval=1886574168 TSecr=1758596082
  109  39.792574     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=49001 Win=67 Len=0 TSval=1886574174 TSecr=1758596034
  110  39.793896     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=40038 Win=34304 Len=0 TSval=1886574175 TSecr=1758596066
  111  39.810493     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=42038 Win=34304 Len=0 TSval=1886574192 TSecr=1758596086
  112  39.811940     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=43038 Win=34304 Len=0 TSval=1886574193 TSecr=1758596107
  113  39.829006     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=38001 Win=67 Len=0 TSval=1886574210 TSecr=1758596067
  114  39.829429     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=54001 Win=67 Len=0 TSval=1886574210 TSecr=1758596037
  115  39.852585     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=55001 Win=67 Len=0 TSval=1886574233 TSecr=1758596116
  116  39.852940     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=42038 Win=34304 Len=0 TSval=1886574234 TSecr=1758596081
  117  39.871544     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=43001 Win=67 Len=0 TSval=1886574251 TSecr=1758596126
  118  39.876169     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=47038 Win=34304 Len=0 TSval=1886574253 TSecr=1758596159
  119  39.876647     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=42038 Win=34304 Len=0 TSval=1886574258 TSecr=1758596091
  120  39.882466     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=60001 Win=67 Len=0 TSval=1886574261 TSecr=1758596127
  121  39.885172     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=43038 Win=34304 Len=0 TSval=1886574266 TSecr=1758596104
  122  39.886793     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=64001 Win=67 Len=0 TSval=1886574268 TSecr=1758596180
  123  39.888498     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=44038 Win=34304 Len=0 TSval=1886574270 TSecr=1758596109
  124  39.891474     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=48038 Win=34304 Len=0 TSval=1886574272 TSecr=1758596182
  125  39.905871     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=47038 Win=34304 Len=0 TSval=1886574286 TSecr=1758596151
  126  39.947390     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=57001 Win=67 Len=0 TSval=1886574322 TSecr=1758596150
  127  39.953229     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=46001 Win=67 Len=0 TSval=1886574325 TSecr=1758596169
  128  39.957180     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=48038 Win=34304 Len=0 TSval=1886574328 TSecr=1758596173
  129  39.977379     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=49038 Win=34304 Len=0 TSval=1886574358 TSecr=1758596185
  130  40.021643     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=59038 Win=34304 Len=0 TSval=1886574402 TSecr=1758596308
  131  40.023222     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=70001 Win=67 Len=0 TSval=1886574404 TSecr=1758596315
  132  40.037614     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=71001 Win=67 Len=0 TSval=1886574419 TSecr=1758596327
  133  40.079771     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=55038 Win=34304 Len=0 TSval=1886574459 TSecr=1758596265
  134  40.089354     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=62001 Win=67 Len=0 TSval=1886574470 TSecr=1758596376
  135  40.118163     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=72001 Win=67 Len=0 TSval=1886574496 TSecr=1758596278
  136  40.151570     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=64038 Win=34304 Len=0 TSval=1886574533 TSecr=1758596382
  137  40.153274     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=82001 Win=67 Len=0 TSval=1886574534 TSecr=1758596411
  138  40.174873     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=66038 Win=34304 Len=0 TSval=1886574555 TSecr=1758596411
  139  40.177073     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=67038 Win=34304 Len=0 TSval=1886574556 TSecr=1758596424
  140  40.179361     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=69038 Win=34304 Len=0 TSval=1886574559 TSecr=1758596445
  141  40.190442     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=71038 Win=34304 Len=0 TSval=1886574571 TSecr=1758596475
  142  40.212635     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=84001 Win=67 Len=0 TSval=1886574594 TSecr=1758596451
