    1   0.000000           :: → ff02::1:ff00:1 ICMPv6 86 Neighbor Solicitation for fe80::201:aff:fe00:1
   81  39.036678     10.0.0.1 → 10.0.0.2     TCP 103 55943 → 42968 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595417 TSecr=1886573483
   82  39.039847     10.0.0.1 → 10.0.0.2     TCP 66 51099 → 25904 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595421 TSecr=1886573413
   83  39.039848     10.0.0.1 → 10.0.0.2     TCP 66 55655 → 6776 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595421 TSecr=1886573409
   84  39.039850     10.0.0.1 → 10.0.0.2     TCP 66 39475 → 47452 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595421 TSecr=1886573399
   85  39.043845     10.0.0.1 → 10.0.0.2     TCP 66 49189 → 42968 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595425 TSecr=1886573438
   86  39.043847     10.0.0.1 → 10.0.0.2     TCP 66 58271 → 40783 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595425 TSecr=1886573423
   87  39.043847     10.0.0.1 → 10.0.0.2     TCP 66 47085 → 46356 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595425 TSecr=1886573415
   88  39.055702     10.0.0.1 → 10.0.0.2     TCP 3066 19551 → 35722 [PSH, ACK] Seq=6038 Ack=1 Win=37888 Len=3000 TSval=1758595436 TSecr=1886573491
   89  39.151190     10.0.0.1 → 10.0.0.2     TCP 9066 48193 → 59433 [PSH, ACK] Seq=3038 Ack=1 Win=37888 Len=9000 TSval=1758595532 TSecr=1886573539
   90  39.151968     10.0.0.1 → 10.0.0.2     TCP 66 51099 → 25904 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573601
   91  39.152123     10.0.0.1 → 10.0.0.2     TCP 66 55655 → 6776 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573602
   92  39.152281     10.0.0.1 → 10.0.0.2     TCP 66 39475 → 47452 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573603
   93  39.152441     10.0.0.1 → 10.0.0.2     TCP 66 49189 → 42968 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573610
   94  39.152593     10.0.0.1 → 10.0.0.2     TCP 66 58271 → 40783 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573614
   95  39.152745     10.0.0.1 → 10.0.0.2     TCP 66 47085 → 46356 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595533 TSecr=1886573615
   96  39.153217     10.0.0.1 → 10.0.0.2     TCP 8066 19551 → 35722 [PSH, ACK] Seq=9038 Ack=1 Win=37888 Len=8000 TSval=1758595534 TSecr=1886573616
   97  39.153402     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595534 TSecr=1886573520
   98  39.153412     10.0.0.1 → 10.0.0.2     TCP 1066 58169 → 25904 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595534 TSecr=1886573575
   99  39.153498     10.0.0.1 → 10.0.0.2     TCP 1066 32720 → 40783 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595534 TSecr=1886573592
  100  39.154982     10.0.0.1 → 10.0.0.2     TCP 1066 55943 → 42968 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595536 TSecr=1886573599
  101  39.154999     10.0.0.1 → 10.0.0.2     TCP 1066 54368 → 46356 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595536 TSecr=1886573587
  102  39.162823     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595543 TSecr=1886573523
  103  39.163588     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=12038 Ack=1 Win=37888 Len=1000 TSval=1758595544 TSecr=1886573619
  104  39.168010     10.0.0.1 → 10.0.0.2     TCP 1066 19551 → 35722 [PSH, ACK] Seq=17038 Ack=1 Win=37888 Len=1000 TSval=1758595549 TSecr=1886573629
  105  39.175688     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=1000 TSval=1758595556 TSecr=1886573640
  106  39.177056     10.0.0.1 → 10.0.0.2     TCP 1066 55943 → 42968 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=1000 TSval=1758595558 TSecr=1886573641
